-0.25|-0.24|32.2|0.322|-0.2|0.3|0.003
-0.50|-0.55|35|0.35|-0.48|0.4|0.004
-1.0|-1|37.9|0.379|-1.01|0.4|0.004
-2.0|-2.05|42.9|0.429|-2.01|0.4|0.004
-4.0|-4|50.6|0.506|-3.97|0.5|0.005
-6.0|-6|57.8|0.578|-6.04|0.5|0.005
-8.0|-7.98|63.4|0.634|-8|0.6|0.006
-10.0|-9.98|69.4|0.694|-10.04|0.6|0.006
-12.0|-12.01|75.9|0.759|-11.98|0.6|0.006
